Date,metric,ticker,value
2018-03-28,Open,3UKL.L,18125.0
2018-03-29,Open,3UKL.L,19063.0
2018-04-03,Open,3UKL.L,18990.0
2018-04-04,Open,3UKL.L,18795.0
2018-04-05,Open,3UKL.L,19745.0
2018-04-06,Open,3UKL.L,20166.0
2018-04-09,Open,3UKL.L,19964.0
2018-04-10,Open,3UKL.L,20435.0
2018-04-11,Open,3UKL.L,20825.0
2018-04-12,Open,3UKL.L,20735.0
2018-04-13,Open,3UKL.L,20775.0
2018-04-16,Open,3UKL.L,20760.0
2018-04-17,Open,3UKL.L,20400.0
2018-04-18,Open,3UKL.L,20800.0
2018-04-19,Open,3UKL.L,21454.0
2018-04-20,Open,3UKL.L,21780.0
2018-04-23,Open,3UKL.L,21820.0
2018-04-24,Open,3UKL.L,22200.0
2018-04-25,Open,3UKL.L,22053.0
2018-04-26,Open,3UKL.L,21893.0
2018-04-27,Open,3UKL.L,22755.0
2018-04-30,Open,3UKL.L,23300.0
2018-05-01,Open,3UKL.L,22833.0
2018-05-02,Open,3UKL.L,23475.0
2018-05-03,Open,3UKL.L,23376.0
2018-05-04,Open,3UKL.L,23400.0
2018-05-08,Open,3UKL.L,23929.0
2018-05-09,Open,3UKL.L,23925.0
2018-05-10,Open,3UKL.L,24840.0
2018-05-11,Open,3UKL.L,25249.0
2018-05-14,Open,3UKL.L,25305.0
2018-05-15,Open,3UKL.L,25325.0
2018-05-16,Open,3UKL.L,25500.0
2018-05-17,Open,3UKL.L,25615.0
2018-05-18,Open,3UKL.L,25986.0
2018-05-21,Open,3UKL.L,26379.0
2018-05-22,Open,3UKL.L,26814.0
2018-05-23,Open,3UKL.L,26485.0
2018-05-24,Open,3UKL.L,26050.0
2018-05-25,Open,3UKL.L,25569.0
2018-05-29,Open,3UKL.L,24796.0
2018-05-30,Open,3UKL.L,24460.0
2018-05-31,Open,3UKL.L,25275.0
2018-06-01,Open,3UKL.L,25455.0
2018-06-04,Open,3UKL.L,25490.0
2018-06-05,Open,3UKL.L,25390.0
2018-06-06,Open,3UKL.L,25320.0
2018-06-07,Open,3UKL.L,25360.0
2018-06-08,Open,3UKL.L,25050.0
2018-06-11,Open,3UKL.L,25319.0
2018-06-12,Open,3UKL.L,25820.0
2018-06-13,Open,3UKL.L,25091.0
2018-06-14,Open,3UKL.L,24862.0
2018-06-15,Open,3UKL.L,26096.0
2018-06-18,Open,3UKL.L,24490.0
2018-06-19,Open,3UKL.L,23927.0
2018-06-20,Open,3UKL.L,25145.0
2018-06-21,Open,3UKL.L,24950.0
2018-06-22,Open,3UKL.L,24100.0
2018-06-25,Open,3UKL.L,24550.0
2018-06-26,Open,3UKL.L,23735.0
2018-06-27,Open,3UKL.L,23430.0
2018-06-28,Open,3UKL.L,24156.5
2018-06-29,Open,3UKL.L,24880.0
2018-07-02,Open,3UKL.L,23980.0
2018-07-03,Open,3UKL.L,23930.0
2018-07-04,Open,3UKL.L,23925.0
2018-07-05,Open,3UKL.L,24271.0
2018-07-06,Open,3UKL.L,23957.0
2018-07-09,Open,3UKL.L,24680.0
2018-07-10,Open,3UKL.L,25075.0
2018-07-11,Open,3UKL.L,24040.0
2018-07-12,Open,3UKL.L,24546.0
2018-07-13,Open,3UKL.L,25123.0
2018-07-16,Open,3UKL.L,24593.16015625
2018-07-17,Open,3UKL.L,24182.240234375
2018-07-18,Open,3UKL.L,24716.0
2018-07-19,Open,3UKL.L,24878.0
2018-07-20,Open,3UKL.L,24841.0
2018-07-23,Open,3UKL.L,24622.0
2018-07-24,Open,3UKL.L,25340.0
2018-07-25,Open,3UKL.L,25145.0
2018-07-26,Open,3UKL.L,24700.0
2018-07-27,Open,3UKL.L,25040.0
2018-07-30,Open,3UKL.L,25140.0
2018-07-31,Open,3UKL.L,25570.0
2018-08-01,Open,3UKL.L,25000.0
2018-08-02,Open,3UKL.L,24200.0
2018-08-03,Open,3UKL.L,24100.0
2018-08-06,Open,3UKL.L,24702.0
2018-08-07,Open,3UKL.L,24950.0
2018-08-08,Open,3UKL.L,25270.0
2018-08-09,Open,3UKL.L,25843.0
2018-08-10,Open,3UKL.L,25470.0
2018-08-13,Open,3UKL.L,24720.0
2018-08-14,Open,3UKL.L,25000.0
2018-08-15,Open,3UKL.L,24362.0
2018-08-16,Open,3UKL.L,23723.0
2018-08-17,Open,3UKL.L,23770.0
2018-08-20,Open,3UKL.L,24600.0
2018-08-21,Open,3UKL.L,24432.0
2018-08-22,Open,3UKL.L,24440.0
2018-08-23,Open,3UKL.L,24286.91015625
2018-08-24,Open,3UKL.L,24200.0
2018-08-28,Open,3UKL.L,24843.0
2018-08-29,Open,3UKL.L,24536.0
2018-08-30,Open,3UKL.L,23780.0
2018-08-31,Open,3UKL.L,23500.0
2018-09-03,Open,3UKL.L,23678.0
2018-09-04,Open,3UKL.L,23767.0
2018-09-05,Open,3UKL.L,22944.0
2018-09-06,Open,3UKL.L,22585.0
2018-09-07,Open,3UKL.L,21850.0
2018-09-10,Open,3UKL.L,21630.0
2018-09-11,Open,3UKL.L,21520.0
2018-09-12,Open,3UKL.L,21674.0
2018-09-13,Open,3UKL.L,21850.0
2018-09-14,Open,3UKL.L,21860.0
2018-09-17,Open,3UKL.L,21900.0
2018-09-18,Open,3UKL.L,21690.0
2018-09-19,Open,3UKL.L,21640.0
2018-09-20,Open,3UKL.L,22352.0
2018-09-21,Open,3UKL.L,22800.0
2018-09-24,Open,3UKL.L,23352.0
2018-09-25,Open,3UKL.L,23300.0
2018-09-26,Open,3UKL.L,23630.0
2018-09-27,Open,3UKL.L,24020.0
2018-09-28,Open,3UKL.L,23870.0
2018-10-01,Open,3UKL.L,23700.0
2018-10-02,Open,3UKL.L,23200.0
2018-10-03,Open,3UKL.L,23968.0
2018-10-04,Open,3UKL.L,23260.0
2018-10-05,Open,3UKL.L,22811.0
2018-10-08,Open,3UKL.L,21920.0
2018-10-09,Open,3UKL.L,21125.0
2018-10-10,Open,3UKL.L,21010.0
2018-10-11,Open,3UKL.L,19668.0
2018-10-12,Open,3UKL.L,19490.0
2018-10-15,Open,3UKL.L,19270.0
2018-10-16,Open,3UKL.L,19400.0
2018-10-17,Open,3UKL.L,19770.0
2018-10-18,Open,3UKL.L,19710.0
2018-10-19,Open,3UKL.L,19700.0
2018-10-22,Open,3UKL.L,19836.0
2018-10-23,Open,3UKL.L,19024.0
2018-10-24,Open,3UKL.L,19155.0
2018-10-25,Open,3UKL.L,18389.0
2018-10-26,Open,3UKL.L,18685.0
2018-10-29,Open,3UKL.L,19400.0
2018-10-30,Open,3UKL.L,19350.0
2018-10-31,Open,3UKL.L,20106.0
2018-11-01,Open,3UKL.L,19920.0
2018-11-02,Open,3UKL.L,20786.0
2018-11-05,Open,3UKL.L,19825.0
2018-11-06,Open,3UKL.L,19804.0
2018-11-07,Open,3UKL.L,20002.0
2018-11-08,Open,3UKL.L,20250.0
2018-11-09,Open,3UKL.L,19971.0
2018-11-12,Open,3UKL.L,20430.0
2018-11-13,Open,3UKL.L,19935.0
2018-11-14,Open,3UKL.L,19199.0
2018-11-15,Open,3UKL.L,19871.0
2018-11-16,Open,3UKL.L,19941.0
2018-11-19,Open,3UKL.L,19432.0
2018-11-20,Open,3UKL.L,18980.0
2018-11-21,Open,3UKL.L,19150.0
2018-11-22,Open,3UKL.L,19445.0
2018-11-23,Open,3UKL.L,18940.0
2018-11-26,Open,3UKL.L,19510.0
2018-11-27,Open,3UKL.L,19340.0
2018-11-28,Open,3UKL.L,19310.0
2018-11-29,Open,3UKL.L,19600.0
2018-11-30,Open,3UKL.L,19175.0
2018-12-03,Open,3UKL.L,20220.0
2018-12-04,Open,3UKL.L,19800.0
2018-12-05,Open,3UKL.L,18856.0
2018-12-06,Open,3UKL.L,18310.0
2018-12-07,Open,3UKL.L,17401.0
2018-12-10,Open,3UKL.L,17304.0
2018-12-11,Open,3UKL.L,17241.0
2018-12-12,Open,3UKL.L,18200.0
2018-12-13,Open,3UKL.L,18054.0
2018-12-14,Open,3UKL.L,17729.0
2018-12-17,Open,3UKL.L,17854.0
2018-12-18,Open,3UKL.L,17051.0
2018-12-19,Open,3UKL.L,17006.0
2018-12-20,Open,3UKL.L,16576.0
2018-12-21,Open,3UKL.L,16770.0
2018-12-24,Open,3UKL.L,16745.0
2018-12-27,Open,3UKL.L,16220.0
2018-12-28,Open,3UKL.L,16760.0
2018-12-31,Open,3UKL.L,17100.0
2019-01-02,Open,3UKL.L,16082.0
2019-01-03,Open,3UKL.L,16780.0
2019-01-04,Open,3UKL.L,17298.0
2019-01-07,Open,3UKL.L,17979.0
2019-01-08,Open,3UKL.L,18200.0
2019-01-09,Open,3UKL.L,18502.0
2019-01-10,Open,3UKL.L,18220.0
2019-01-11,Open,3UKL.L,18900.0
2019-01-14,Open,3UKL.L,18190.0
2019-01-15,Open,3UKL.L,18240.0
2019-01-16,Open,3UKL.L,17978.0
2019-01-17,Open,3UKL.L,17630.0
2019-01-18,Open,3UKL.L,18290.0
2019-01-21,Open,3UKL.L,18800.0
2019-01-22,Open,3UKL.L,18652.0
2019-01-23,Open,3UKL.L,17979.0
2019-01-24,Open,3UKL.L,17565.0
2019-01-25,Open,3UKL.L,17707.509765625
2019-01-28,Open,3UKL.L,17427.0
2019-01-29,Open,3UKL.L,17780.0
2019-01-30,Open,3UKL.L,18502.0
2019-01-31,Open,3UKL.L,18826.0
2019-02-01,Open,3UKL.L,19058.0
2019-02-04,Open,3UKL.L,19220.0
2019-02-05,Open,3UKL.L,19630.0
2019-02-06,Open,3UKL.L,20250.0
2019-02-07,Open,3UKL.L,19757.0
2019-02-08,Open,3UKL.L,19595.0
2019-02-11,Open,3UKL.L,19800.0
2019-02-12,Open,3UKL.L,20200.0
2019-02-13,Open,3UKL.L,20320.0
2019-02-14,Open,3UKL.L,20825.0
2019-02-15,Open,3UKL.L,20950.0
2019-02-18,Open,3UKL.L,20899.0
2019-02-19,Open,3UKL.L,20730.0
2019-02-20,Open,3UKL.L,20735.0
2019-02-21,Open,3UKL.L,20620.0
2019-02-22,Open,3UKL.L,20770.0
2019-02-25,Open,3UKL.L,20860.0
2019-02-26,Open,3UKL.L,20250.0
2019-02-27,Open,3UKL.L,19965.0
2019-02-28,Open,3UKL.L,19875.0
2019-03-01,Open,3UKL.L,20246.0
2019-03-04,Open,3UKL.L,20470.0
2019-03-05,Open,3UKL.L,20775.0
2019-03-06,Open,3UKL.L,20890.0
2019-03-07,Open,3UKL.L,20735.0
2019-03-08,Open,3UKL.L,20283.0
2019-03-11,Open,3UKL.L,20700.0
2019-03-12,Open,3UKL.L,20660.0
2019-03-13,Open,3UKL.L,20670.0
2019-03-14,Open,3UKL.L,20980.0
2019-03-15,Open,3UKL.L,21170.0
2019-03-18,Open,3UKL.L,21450.0
2019-03-19,Open,3UKL.L,22095.0
2019-03-20,Open,3UKL.L,22240.0
2019-03-21,Open,3UKL.L,22090.0
2019-03-22,Open,3UKL.L,22080.0
2019-03-25,Open,3UKL.L,20810.0
2019-03-26,Open,3UKL.L,20965.0
2019-03-27,Open,3UKL.L,21144.0
2019-03-28,Open,3UKL.L,21400.0
2019-03-29,Open,3UKL.L,21775.0
2019-04-01,Open,3UKL.L,22110.0
2019-04-02,Open,3UKL.L,22391.0
2019-04-03,Open,3UKL.L,22740.0
2019-04-04,Open,3UKL.L,22774.0
2019-04-05,Open,3UKL.L,23350.0
2019-04-08,Open,3UKL.L,23525.0
2019-04-09,Open,3UKL.L,23360.0
2019-04-10,Open,3UKL.L,23100.0
2019-04-11,Open,3UKL.L,23165.0
2019-04-12,Open,3UKL.L,23194.0
2019-04-15,Open,3UKL.L,23279.0
2019-04-16,Open,3UKL.L,23490.0
2019-04-17,Open,3UKL.L,23651.0
2019-04-18,Open,3UKL.L,23680.0
2019-04-23,Open,3UKL.L,23720.0
2019-04-24,Open,3UKL.L,24000.0
2019-04-25,Open,3UKL.L,23395.400390625
2019-04-26,Open,3UKL.L,23100.0
2019-04-29,Open,3UKL.L,23410.0
2019-04-30,Open,3UKL.L,23419.0
2019-05-01,Open,3UKL.L,23437.0
2019-05-02,Open,3UKL.L,22657.0
2019-05-03,Open,3UKL.L,22779.234375
2019-05-07,Open,3UKL.L,22570.0
2019-05-08,Open,3UKL.L,21715.0
2019-05-09,Open,3UKL.L,21396.48828125
2019-05-10,Open,3UKL.L,21800.0
2019-05-13,Open,3UKL.L,21365.0
2019-05-14,Open,3UKL.L,21212.0
2019-05-15,Open,3UKL.L,21690.0
2019-05-16,Open,3UKL.L,22305.0
2019-05-17,Open,3UKL.L,22715.0
2019-05-20,Open,3UKL.L,22807.0
2019-05-21,Open,3UKL.L,22747.0
2019-05-22,Open,3UKL.L,22940.0
2019-05-23,Open,3UKL.L,21830.0
2019-05-24,Open,3UKL.L,21948.0
2019-05-28,Open,3UKL.L,22213.0
2019-05-29,Open,3UKL.L,21585.0
2019-05-30,Open,3UKL.L,21527.0
2019-05-31,Open,3UKL.L,21100.0
2019-06-03,Open,3UKL.L,20760.0
2019-06-04,Open,3UKL.L,20980.0
2019-06-05,Open,3UKL.L,21718.0
2019-06-06,Open,3UKL.L,22027.0
2019-06-07,Open,3UKL.L,22725.0
